DATE,WLEMUINDXD
18/12/2009,6.84
19/12/2009,43.41
20/12/2009,18.09
21/12/2009,10.86
22/12/2009,49.42
23/12/2009,90.91
24/12/2009,6.76
25/12/2009,142.13
26/12/2009,205.68
27/12/2009,110.33
28/12/2009,43.85
29/12/2009,34.24
30/12/2009,27.45
31/12/2009,53.59
1/1/2010,57.28
2/1/2010,122.78
3/1/2010,78.56
4/1/2010,114.26
5/1/2010,16.2
6/1/2010,6
7/1/2010,30.9
8/1/2010,19.61
9/1/2010,113.65
10/1/2010,51.36
11/1/2010,48.54
12/1/2010,15.31
13/1/2010,11.8
14/1/2010,46.95
15/1/2010,43.36
16/1/2010,59.51
17/1/2010,8.44
18/1/2010,10.05
19/1/2010,16.18
20/1/2010,119.63
21/1/2010,103.9
22/1/2010,87.24
23/1/2010,105.71
24/1/2010,64.91
25/1/2010,264.44
26/1/2010,39.15
27/1/2010,30.14
28/1/2010,71.38
29/1/2010,32.57
30/1/2010,62.16
31/1/2010,16.92
1/2/2010,29.04
2/2/2010,46.36
3/2/2010,68.29
4/2/2010,10.09
5/2/2010,37.8
6/2/2010,9.91
7/2/2010,8.31
8/2/2010,58.74
9/2/2010,45.14
10/2/2010,24.07
11/2/2010,41.87
12/2/2010,25.16
13/2/2010,19.85
14/2/2010,47.17
15/2/2010,60.68
16/2/2010,15.89
17/2/2010,11.96
18/2/2010,30.14
19/2/2010,31.42
20/2/2010,50.62
21/2/2010,8.06
22/2/2010,39.31
23/2/2010,37.07
24/2/2010,11.38
25/2/2010,10.36
26/2/2010,6.19
27/2/2010,37.6
28/2/2010,31.17
1/3/2010,28.76
2/3/2010,22.61
3/3/2010,11.59
4/3/2010,9.92
5/3/2010,6.11
6/3/2010,37.96
7/3/2010,7.96
8/3/2010,9.44
9/3/2010,37.88
10/3/2010,46.93
11/3/2010,39.3
12/3/2010,48.32
13/3/2010,38.9
14/3/2010,7.99
15/3/2010,9.77
16/3/2010,7.71
17/3/2010,5.98
18/3/2010,39.34
19/3/2010,37.12
20/3/2010,68.79
21/3/2010,32.78
22/3/2010,130.09
23/3/2010,39.02
24/3/2010,18.33
25/3/2010,24.86
26/3/2010,12.7
27/3/2010,79.77
28/3/2010,23.69
29/3/2010,29.96
30/3/2010,7.89
31/3/2010,62.1
1/4/2010,82.38
2/4/2010,12.85
3/4/2010,145.65
4/4/2010,16.86
5/4/2010,30.99
6/4/2010,15.23
7/4/2010,6
8/4/2010,4.99
9/4/2010,25.06
10/4/2010,29.7
11/4/2010,40.82
12/4/2010,29.99
13/4/2010,37.91
14/4/2010,18.18
15/4/2010,28.93
16/4/2010,74
17/4/2010,66.76
18/4/2010,33.04
19/4/2010,49.01
20/4/2010,57.51
21/4/2010,5.88
22/4/2010,4.9
23/4/2010,11.99
24/4/2010,48.26
25/4/2010,24.23
26/4/2010,28.02
27/4/2010,28.44
28/4/2010,11.15
29/4/2010,9.59
30/4/2010,11.98
1/5/2010,18.99
2/5/2010,16.07
3/5/2010,58.63
4/5/2010,52.35
5/5/2010,51.39
6/5/2010,101.92
7/5/2010,136.22
8/5/2010,147.09
9/5/2010,40.33
10/5/2010,29.37
11/5/2010,22.22
12/5/2010,45.45
13/5/2010,4.8
14/5/2010,5.98
15/5/2010,57.53
16/5/2010,55.04
17/5/2010,27.99
18/5/2010,20.93
19/5/2010,52.04
20/5/2010,81.54
21/5/2010,53.37
22/5/2010,28.95
23/5/2010,39.64
24/5/2010,115.98
25/5/2010,49.84
26/5/2010,69.26
27/5/2010,34.61
28/5/2010,67.13
29/5/2010,69.89
30/5/2010,25.56
31/5/2010,43.57
1/6/2010,25.67
2/6/2010,24.14
3/6/2010,37.23
4/6/2010,37.86
5/6/2010,20.54
6/6/2010,25.34
7/6/2010,39.61
8/6/2010,109.47
9/6/2010,73.8
10/6/2010,26.33
11/6/2010,25.83
12/6/2010,30.84
13/6/2010,50.75
14/6/2010,70.24
15/6/2010,156.14
16/6/2010,96.73
17/6/2010,54.38
18/6/2010,6.62
19/6/2010,10.41
20/6/2010,24.44
21/6/2010,30.41
22/6/2010,39.25
23/6/2010,43.84
24/6/2010,40.88
25/6/2010,25.58
26/6/2010,51.07
27/6/2010,42.53
28/6/2010,64.61
29/6/2010,58.34
30/6/2010,63.45
1/7/2010,75.32
2/7/2010,28.4
3/7/2010,122.31
4/7/2010,55.2
5/7/2010,28.59
6/7/2010,106.25
7/7/2010,20.94
8/7/2010,51.03
9/7/2010,7.4
10/7/2010,129.67
11/7/2010,63.9
12/7/2010,63.64
13/7/2010,25.31
14/7/2010,48.42
15/7/2010,44.23
16/7/2010,27.99
17/7/2010,33.7
18/7/2010,44.98
19/7/2010,63.31
20/7/2010,76.19
21/7/2010,99.69
22/7/2010,33.41
23/7/2010,14.39
24/7/2010,76.64
25/7/2010,77.28
26/7/2010,203.2
27/7/2010,117.63
28/7/2010,44.56
29/7/2010,11.02
30/7/2010,7
31/7/2010,97.47
1/8/2010,155.18
2/8/2010,86.54
3/8/2010,58.82
4/8/2010,67.03
5/8/2010,148.69
6/8/2010,27.36
7/8/2010,108.32
8/8/2010,26.11
9/8/2010,32.63
10/8/2010,40.07
11/8/2010,127.25
12/8/2010,73.29
13/8/2010,229.84
14/8/2010,100.68
15/8/2010,79.81
16/8/2010,105.11
17/8/2010,17.48
18/8/2010,13.99
19/8/2010,39.11
20/8/2010,14.44
21/8/2010,206.46
22/8/2010,58.87
23/8/2010,34.86
24/8/2010,35.88
25/8/2010,47.22
26/8/2010,126.97
27/8/2010,70.33
28/8/2010,91.36
29/8/2010,114.26
30/8/2010,34.95
31/8/2010,206.04
1/9/2010,155.84
2/9/2010,16.58
3/9/2010,13.51
4/9/2010,87.83
5/9/2010,43.11
6/9/2010,77.26
7/9/2010,98.53
8/9/2010,13.45
9/9/2010,16.06
10/9/2010,33.5
11/9/2010,65.74
12/9/2010,33.04
13/9/2010,86.84
14/9/2010,62.37
15/9/2010,31.25
16/9/2010,32.26
17/9/2010,20.1
18/9/2010,66.59
19/9/2010,67.27
20/9/2010,123.81
21/9/2010,89.56
22/9/2010,13.18
23/9/2010,5.33
24/9/2010,19.92
25/9/2010,94.74
26/9/2010,33.09
27/9/2010,10.96
28/9/2010,66.77
29/9/2010,37.85
30/9/2010,30.93
1/10/2010,13.5
2/10/2010,28.31
3/10/2010,16.26
4/10/2010,43.26
5/10/2010,50.67
6/10/2010,19.25
7/10/2010,59.59
8/10/2010,44.07
9/10/2010,18.08
10/10/2010,47.96
11/10/2010,41.88
12/10/2010,47.72
13/10/2010,274.39
14/10/2010,211.55
15/10/2010,18.73
16/10/2010,35.25
17/10/2010,62.99
18/10/2010,50.38
19/10/2010,7.73
20/10/2010,6.09
21/10/2010,9.66
22/10/2010,12.44
23/10/2010,89.9
24/10/2010,15.67
25/10/2010,50.03
26/10/2010,7.48
27/10/2010,24.18
28/10/2010,28.74
29/10/2010,185.41
30/10/2010,78.7
31/10/2010,46.53
1/11/2010,121.49
2/11/2010,37.91
3/11/2010,115.83
4/11/2010,30.33
5/11/2010,31.75
6/11/2010,80.4
7/11/2010,7.83
8/11/2010,50.36
9/11/2010,30.92
10/11/2010,17.66
11/11/2010,21.16
12/11/2010,19.63
13/11/2010,46.26
14/11/2010,111.42
15/11/2010,83.38
16/11/2010,39.47
17/11/2010,6.32
18/11/2010,15.62
19/11/2010,19.38
20/11/2010,57.59
21/11/2010,24.38
22/11/2010,20.33
23/11/2010,7.94
24/11/2010,17.87
25/11/2010,7.47
26/11/2010,40.38
27/11/2010,66.77
28/11/2010,53.05
29/11/2010,65.67
30/11/2010,16.52
1/12/2010,25.59
2/12/2010,10.9
3/12/2010,20.01
4/12/2010,29.25
5/12/2010,17.03
6/12/2010,31.67
7/12/2010,24.67
8/12/2010,31.26
9/12/2010,31.41
10/12/2010,13.56
11/12/2010,100.24
12/12/2010,51.24
13/12/2010,64.87
14/12/2010,8.08
15/12/2010,18.84
16/12/2010,10.59
17/12/2010,6.76
18/12/2010,30.47
19/12/2010,8.71
20/12/2010,21.51
21/12/2010,24.89
22/12/2010,12.82
23/12/2010,11.64
24/12/2010,35.57
25/12/2010,103.68
26/12/2010,20.17
27/12/2010,23.75
28/12/2010,46.34
29/12/2010,35.07
30/12/2010,82.76
31/12/2010,87.88
1/1/2011,296.77
2/1/2011,85.31
3/1/2011,21.97
4/1/2011,33.85
5/1/2011,6.18
6/1/2011,5.41
7/1/2011,6.64
8/1/2011,39.36
9/1/2011,42.02
10/1/2011,10.42
11/1/2011,7.89
12/1/2011,37.62
13/1/2011,10.8
14/1/2011,13
15/1/2011,9.79
16/1/2011,8.38
17/1/2011,21.68
18/1/2011,16.26
19/1/2011,30.14
20/1/2011,25.95
21/1/2011,32.62
22/1/2011,29.92
23/1/2011,8.31
24/1/2011,31.52
25/1/2011,7.95
26/1/2011,29.48
27/1/2011,5.14
28/1/2011,30.94
29/1/2011,39.06
30/1/2011,127.25
31/1/2011,29.94
1/2/2011,30.36
2/2/2011,35.66
3/2/2011,5.17
4/2/2011,6.38
5/2/2011,19.19
6/2/2011,56.19
7/2/2011,10.21
8/2/2011,22.99
9/2/2011,11.49
10/2/2011,40.19
11/2/2011,6.26
12/2/2011,38.94
13/2/2011,88.51
14/2/2011,30.44
15/2/2011,23.19
16/2/2011,45.74
17/2/2011,14.88
18/2/2011,12.48
19/2/2011,65.76
20/2/2011,56.51
21/2/2011,31.41
22/2/2011,40.86
23/2/2011,34.44
24/2/2011,20.21
25/2/2011,12.45
26/2/2011,247.01
27/2/2011,39.84
28/2/2011,50.61
1/3/2011,30.21
2/3/2011,11.3
3/3/2011,9.95
4/3/2011,18.25
5/3/2011,18.47
6/3/2011,15.63
7/3/2011,50.03
8/3/2011,69.06
9/3/2011,22.71
10/3/2011,24.73
11/3/2011,88.27
12/3/2011,38.98
13/3/2011,72.57
14/3/2011,311.62
15/3/2011,142.85
16/3/2011,52.44
17/3/2011,19.87
18/3/2011,12.72
19/3/2011,168.93
20/3/2011,137.09
21/3/2011,31.08
22/3/2011,55.85
23/3/2011,39.77
24/3/2011,14.91
25/3/2011,63.32
26/3/2011,59.15
27/3/2011,48.28
28/3/2011,10.4
29/3/2011,55.96
30/3/2011,17.38
31/3/2011,125.02
1/4/2011,12.36
2/4/2011,9.87
3/4/2011,8.1
4/4/2011,10.07
5/4/2011,15.49
6/4/2011,11.05
7/4/2011,9.74
8/4/2011,6.16
9/4/2011,67.26
10/4/2011,16.01
