date,ind_prod_goods,bill_rates,equity_mkt_vol,unemployment,equity_mkt_uncertainty,equity_policy_uncertainty,ETF_GLD
2008-03-24,106.6550387096774,1.23,0.92000,5.025806451612903,15.76,72.04,90.0999984741211
2008-03-25,106.63308387096774,1.27,0.00000,5.02258064516129,57.44,94.8,92.7300033569336
2008-03-26,106.61112903225806,1.27,0.59000,5.019354838709678,25.24,136.5,93.8000030517578
2008-03-27,106.5891741935484,1.28,0.38000,5.016129032258064,45.46,89.06,93.45999908447266
2008-03-28,106.56721935483873,1.31,0.00000,5.012903225806451,27.63,154.34,91.87999725341795
2008-03-31,106.50135483870967,1.36,0.49000,5.003225806451613,49.88,76.0,90.41000366210938
2008-04-01,106.4794,1.38,0.48000,5.0,57.48,168.9,86.86000061035156
2008-04-02,106.45913666666668,1.39,0.38000,5.013333333333334,89.68,141.52,89.2699966430664
2008-04-03,106.43887333333332,1.38,0.86000,5.026666666666666,9.79,106.25,89.41999816894531
2008-04-04,106.41861,1.33,0.00000,5.04,26.62,70.98,90.25
2008-04-07,106.35782,1.43,0.00000,5.08,30.51,89.09,91.16999816894533
2008-04-08,106.33755666666669,1.39,0.00000,5.093333333333334,22.37,73.85,90.3499984741211
2008-04-09,106.31729333333332,1.29,0.71000,5.1066666666666665,24.25,71.58,92.29000091552734
2008-04-10,106.29703,1.25,0.00000,5.12,10.05,80.43,91.7699966430664
2008-04-11,106.27676666666666,1.17,0.38000,5.133333333333334,6.53,94.47,91.3000030517578
2008-04-14,106.21597666666666,1.07,0.00000,5.173333333333334,52.18,79.5,91.11000061035156
2008-04-15,106.19571333333332,1.09,0.92000,5.1866666666666665,46.94,119.2,91.66000366210938
2008-04-16,106.17545,1.11,0.34000,5.2,34.48,85.36,93.2699966430664
2008-04-17,106.15518666666668,1.21,0.00000,5.213333333333334,19.05,90.72,92.55999755859376
2008-04-18,106.13492333333332,1.32,0.00000,5.226666666666667,18.88,28.76,90.62000274658205
2008-04-21,106.07413333333334,1.33,0.61000,5.266666666666667,113.89,149.86,90.25
2008-04-22,106.05387,1.26,0.00000,5.28,54.91,68.72,90.2699966430664
2008-04-23,106.03360666666669,1.24,0.00000,5.293333333333334,17.65,58.26,89.22000122070312
2008-04-24,106.01334333333332,1.24,0.29000,5.306666666666667,34.43,50.58,87.22000122070312
2008-04-25,105.99308,1.31,0.37000,5.32,19.1,67.92,87.2699966430664
2008-04-28,105.93229,1.42,0.59000,5.36,50.58,88.62,87.69000244140625
2008-04-29,105.91202666666666,1.44,1.42000,5.373333333333334,8.09,64.67,85.80999755859375
2008-04-30,105.89176333333332,1.41,0.38000,5.386666666666667,89.92,80.74,86.6500015258789
2008-05-01,105.8715,1.42,0.00000,5.4,14.48,154.45,83.98999786376953
2008-05-02,105.86384838709677,1.47,1.46000,5.4064516129032265,18.72,78.45,84.58000183105469
2008-05-05,105.8408935483871,1.51,0.57000,5.425806451612903,19.4,77.59,86.2699966430664
2008-05-06,105.83324193548388,1.6,0.00000,5.432258064516129,31.37,116.49,86.62999725341797
2008-05-07,105.82559032258064,1.64,1.09000,5.438709677419355,6.22,97.19,85.81999969482422
2008-05-08,105.81793870967742,1.63,0.00000,5.445161290322581,4.87,50.12,87.23999786376953
2008-05-09,105.8102870967742,1.66,0.00000,5.451612903225807,19.43,76.49,87.41999816894531
2008-05-12,105.78733225806452,1.74,0.00000,5.470967741935484,64.73,98.62,86.98999786376953
2008-05-13,105.77968064516128,1.8,0.48000,5.47741935483871,113.88,55.77,85.38999938964844
2008-05-14,105.77202903225806,1.79,0.38000,5.483870967741936,19.38,130.43,85.19999694824219
2008-05-15,105.76437741935484,1.8,0.00000,5.490322580645161,4.92,159.26,87.0
2008-05-16,105.7567258064516,1.81,0.77000,5.496774193548387,13.15,110.23,89.0999984741211
2008-05-19,105.73377096774192,1.79,0.00000,5.516129032258064,52.54,72.05,89.38999938964844
2008-05-20,105.7261193548387,1.83,0.00000,5.52258064516129,16.1,49.07,90.9000015258789
2008-05-21,105.71846774193548,1.83,0.37000,5.529032258064516,31.97,63.32,91.95999908447266
2008-05-22,105.71081612903224,1.83,0.00000,5.535483870967742,4.91,74.84,90.9800033569336
2008-05-23,105.70316451612904,1.82,0.00000,5.541935483870968,6.61,30.21,91.2300033569336
2008-05-27,105.67255806451612,1.86,1.12000,5.567741935483871,28.62,58.15,89.36000061035156
2008-05-28,105.6649064516129,1.86,0.00000,5.574193548387097,13.47,112.84,89.13999938964844
2008-05-29,105.65725483870968,1.87,0.00000,5.580645161290322,5.2,57.45,86.51000213623047
2008-05-30,105.64960322580644,1.85,0.39000,5.587096774193548,6.65,50.64,87.44999694824219
2008-06-02,105.612,1.82,0.00000,5.6066666666666665,10.46,175.25,87.95999908447266
2008-06-03,105.5897,1.82,0.48000,5.613333333333333,16.49,97.33,86.87999725341797
2008-06-04,105.5674,1.81,0.40000,5.619999999999999,13.54,72.21,86.6500015258789
2008-06-05,105.5451,1.82,0.62000,5.626666666666666,15.78,96.16,86.44999694824219
2008-06-06,105.5228,1.81,1.19000,5.633333333333333,40.57,69.54,89.05999755859375
2008-06-09,105.4559,1.86,2.48000,5.653333333333333,63.46,64.46,87.98999786376953
2008-06-10,105.4336,1.98,0.00000,5.66,49.07,99.68,85.55000305175781
2008-06-11,105.4113,1.92,0.00000,5.666666666666666,6.64,83.44,87.0199966430664
2008-06-12,105.389,1.96,0.00000,5.673333333333333,15.28,126.07,85.5999984741211
2008-06-13,105.3667,1.95,0.00000,5.68,20.47,59.79,85.83000183105469
2008-06-16,105.2998,2.04,0.63000,5.699999999999999,64.77,82.24,87.01000213623047
2008-06-17,105.2775,1.96,0.48000,5.706666666666666,24.69,103.47,87.25
2008-06-18,105.2552,1.89,0.00000,5.713333333333333,6.44,58.83,88.27999877929688
2008-06-19,105.2329,1.87,0.00000,5.72,21.15,66.47,88.41999816894531
2008-06-20,105.2106,1.83,0.41000,5.726666666666667,162.06,53.68,88.94999694824219
2008-06-23,105.1437,1.85,0.00000,5.746666666666666,10.98,171.46,87.08999633789062
2008-06-24,105.1214,1.8,0.00000,5.753333333333333,40.47,135.64,87.47000122070312
2008-06-25,105.0991,1.78,0.75000,5.76,6.39,126.57,87.41999816894531
2008-06-26,105.0768,1.7,0.00000,5.766666666666667,10.53,84.23,90.61000061035156
2008-06-27,105.0545,1.64,1.23000,5.773333333333333,42.08,42.74,91.47000122070312
2008-06-30,104.9876,1.87,0.00000,5.793333333333333,55.14,84.01,91.4000015258789
2008-07-01,104.9653,1.84,0.00000,5.8,40.7,145.73,92.66000366210938
2008-07-02,104.9046387096774,1.79,0.00000,5.809677419354839,13.59,72.47,93.16999816894533
2008-07-03,104.84397741935484,1.81,0.00000,5.819354838709677,15.74,77.92,92.05999755859376
2008-07-07,104.60133225806452,1.84,3.16000,5.858064516129032,53.96,82.22,91.2300033569336
2008-07-08,104.54067096774192,1.83,0.00000,5.867741935483871,34.52,223.53,90.86000061035156
2008-07-09,104.48000967741936,1.79,0.00000,5.877419354838709,74.49,131.56,91.5
2008-07-10,104.41934838709678,1.64,0.31000,5.887096774193548,47.15,53.88,93.52999877929688
2008-07-11,104.3586870967742,1.58,1.66000,5.896774193548387,42.51,107.95,95.16000366210938
2008-07-14,104.17670322580643,1.5,0.00000,5.925806451612903,236.35,49.1,95.91000366210938
2008-07-15,104.11604193548388,1.37,0.99000,5.935483870967742,337.31,195.94,96.16999816894533
2008-07-16,104.05538064516128,1.35,0.40000,5.945161290322581,107.94,285.23,94.44000244140624
2008-07-17,103.99471935483872,1.4,0.00000,5.954838709677419,73.46,77.94,94.22000122070312
2008-07-18,103.93405806451612,1.45,0.00000,5.9645161290322575,49.06,82.75,94.16999816894533
2008-07-21,103.75207419354838,1.46,1.26000,5.993548387096774,10.77,86.14,95.12000274658205
2008-07-22,103.6914129032258,1.52,2.49000,6.003225806451613,33.92,61.37,93.05999755859376
2008-07-23,103.63075161290324,1.56,0.00000,6.012903225806451,19.78,123.09,90.56999969482422
2008-07-24,103.57009032258064,1.62,0.31000,6.02258064516129,26.83,81.76,91.33000183105467
2008-07-25,103.50942903225808,1.71,0.40000,6.032258064516129,20.72,73.65,91.69000244140624
2008-07-28,103.32744516129031,1.7,0.00000,6.0612903225806445,20.55,43.06,91.7300033569336
2008-07-29,103.26678387096774,1.69,1.48000,6.070967741935483,33.67,64.12,90.58999633789062
2008-07-30,103.20612258064516,1.67,0.00000,6.080645161290322,12.97,71.61,89.5199966430664
2008-07-31,103.1454612903226,1.65,0.00000,6.090322580645161,5.06,65.51,90.08000183105467
2008-08-01,103.0848,1.63,0.39000,6.1,6.7,79.1,89.56999969482422
2008-08-04,103.01523870967742,1.72,0.00000,6.1,20.81,79.26,88.13999938964844
2008-08-05,102.99205161290324,1.72,0.00000,6.1,33.38,73.11,86.08000183105469
2008-08-06,102.96886451612905,1.61,0.00000,6.1,25.34,74.81,86.63999938964844
2008-08-07,102.94567741935484,1.63,0.00000,6.1,72.57,39.49,86.08999633789062
2008-08-08,102.92249032258064,1.67,0.00000,6.1,27.76,55.52,84.43000030517578
2008-08-11,102.85292903225806,1.84,0.60000,6.1,20.64,86.48,81.12999725341797
2008-08-12,102.82974193548388,1.83,0.48000,6.1,40.93,43.65,80.5199966430664
2008-08-13,102.80655483870969,1.82,0.00000,6.1,18.86,91.02,81.55999755859375
2008-08-14,102.78336774193548,1.85,0.00000,6.1,87.51,92.16,79.3499984741211
2008-08-15,102.76018064516128,1.81,0.00000,6.1,87.13,86.8,77.62999725341797
2008-08-18,102.69061935483872,1.79,0.00000,6.1,41.06,70.39,78.80000305175781
2008-08-19,102.66743225806452,1.77,0.00000,6.1,32.96,65.92,80.43000030517578
2008-08-20,102.64424516129031,1.68,1.10000,6.1,43.86,50.12,80.05999755859375
2008-08-21,102.62105806451612,1.69,0.61000,6.1,41.68,51.6,82.30000305175781
2008-08-22,102.59787096774194,1.67,0.82000,6.1,56.03,82.71,81.08000183105469
2008-08-25,102.52830967741936,1.71,0.00000,6.1,20.79,87.11,80.93000030517578
2008-08-26,102.50512258064516,1.68,0.00000,6.1,15.54,147.96,81.2300033569336
2008-08-27,102.48193548387096,1.64,0.00000,6.1,5.81,101.81,81.36000061035156
2008-08-28,102.45874838709678,1.71,0.29000,6.1,4.88,55.81,82.18000030517578
2008-08-29,102.43556129032258,1.69,0.38000,6.1,6.52,114.16,81.70999908447266
2008-09-02,102.37517666666666,1.69,0.00000,6.113333333333333,89.39,91.93,79.19999694824219
2008-09-03,102.38435333333334,1.67,0.37000,6.126666666666666,56.34,33.39,78.88999938964844
2008-09-04,102.39353,1.66,0.60000,6.14,20.35,56.18,78.38999938964844
2008-09-05,102.40270666666666,1.65,0.00000,6.153333333333333,25.79,58.95,78.9800033569336
2008-09-08,102.43023666666669,1.69,0.59000,6.193333333333333,60.82,158.3,78.86000061035156
2008-09-09,102.43941333333332,1.63,0.46000,6.206666666666666,62.24,91.86,76.48999786376953
2008-09-10,102.44859,1.62,0.35000,6.22,47.94,127.81,74.22000122070312
2008-09-11,102.45776666666669,1.58,0.29000,6.233333333333333,9.82,52.37,73.08000183105469
2008-09-12,102.46694333333332,1.46,0.00000,6.246666666666666,38.74,98.38,75.55000305175781
2008-09-15,102.49447333333332,1.03,1.68000,6.286666666666666,353.92,94.73,77.55999755859375
2008-09-16,102.50365,0.84,1.35000,6.3,176.6,307.09,76.79000091552734
2008-09-17,102.51282666666668,0.03,1.40000,6.3133333333333335,155.16,293.23,85.45999908447266
2008-09-18,102.52200333333332,0.23,0.57000,6.326666666666666,224.64,212.06,82.80000305175781
2008-09-19,102.53118,0.97,1.51000,6.34,199.51,316.24,85.9800033569336
2008-09-22,102.55871,1.29,0.58000,6.38,228.69,185.58,89.18000030517578
2008-09-23,102.56788666666668,0.81,0.96000,6.3933333333333335,236.49,279.56,88.31999969482422
2008-09-24,102.57706333333331,0.5,1.43000,6.406666666666666,115.97,253.41,86.70999908447266
2008-09-25,102.58624,0.75,0.85000,6.42,385.31,216.48,86.44999694824219
2008-09-26,102.59541666666668,0.86,0.38000,6.433333333333334,154.32,320.84,86.63999938964844
2008-09-29,102.62294666666666,0.96,3.54000,6.473333333333334,1117.23,333.55,89.56999969482422
2008-09-30,102.63212333333334,0.9,0.48000,6.486666666666666,504.44,626.03,85.06999969482422
2008-10-01,102.6413,0.84,2.48000,6.5,272.19,361.73,85.97000122070312
2008-10-02,102.61360322580646,0.62,1.13000,6.509677419354839,192.94,266.41,82.33000183105469
2008-10-03,102.5859064516129,0.5,18.00000,6.519354838709678,111.06,340.91,82.58999633789062
2008-10-06,102.50281612903224,0.54,0.57000,6.548387096774194,459.7,361.39,84.27999877929688
2008-10-07,102.47511935483872,0.81,0.46000,6.558064516129032,274.72,236.2,87.2699966430664
2008-10-08,102.44742258064517,0.67,0.72000,6.567741935483871,373.6,212.29,89.41999816894531
2008-10-09,102.4197258064516,0.58,1.15000,6.577419354838709,245.39,317.8,89.9000015258789
2008-10-10,102.39202903225808,0.24,1.14000,6.587096774193548,291.02,184.75,83.22000122070312
2008-10-14,102.28124193548388,0.34,1.89000,6.625806451612903,257.6,171.71,82.19999694824219
2008-10-15,102.25354516129032,0.22,0.35000,6.635483870967742,271.99,262.46,83.30999755859375
2008-10-16,102.22584838709678,0.45,1.20000,6.645161290322581,158.38,307.48,79.29000091552734
2008-10-17,102.19815161290325,0.8,1.09000,6.654838709677419,236.39,194.3,77.20999908447266
2008-10-20,102.1150612903226,1.24,1.18000,6.683870967741935,230.8,179.65,78.5
2008-10-21,102.08736451612904,1.09,0.93000,6.693548387096774,197.4,189.48,76.02999877929688
2008-10-22,102.05966774193548,1.03,0.72000,6.703225806451613,154.31,195.14,71.70999908447266
2008-10-23,102.03197096774194,0.96,0.29000,6.712903225806452,125.66,224.01,70.6500015258789
2008-10-24,102.0042741935484,0.86,0.74000,6.72258064516129,156.97,191.34,72.20999908447266
2008-10-27,101.92118387096777,0.84,1.73000,6.751612903225806,275.38,239.75,72.18000030517578
2008-10-28,101.8934870967742,0.76,0.43000,6.761290322580645,161.95,215.9,73.79000091552734
2008-10-29,101.86579032258064,0.61,2.05000,6.770967741935484,93.15,283.86,74.0
2008-10-30,101.8380935483871,0.4,1.11000,6.780645161290322,61.32,255.12,72.70999908447266
2008-10-31,101.81039677419356,0.44,0.37000,6.790322580645161,132.24,215.88,71.33999633789062
2008-11-03,101.64289333333332,0.49,0.58000,6.833333333333333,278.65,231.23,71.0999984741211
2008-11-04,101.57299,0.48,1.34000,6.85,328.58,110.6,75.4800033569336
2008-11-05,101.50308666666668,0.39,0.65000,6.866666666666666,99.14,354.54,72.80000305175781
2008-11-06,101.43318333333332,0.31,1.17000,6.883333333333333,109.53,280.67,72.22000122070312
2008-11-07,101.36328,0.3,0.39000,6.9,52.76,170.82,72.5
2008-11-10,101.15357,0.29,3.70000,6.95,136.6,124.08,73.58000183105469
2008-11-12,101.01376333333332,0.18,2.19000,6.983333333333333,130.98,135.42,70.0
2008-11-13,100.94386,0.21,0.59000,7.0,65.44,195.57,72.1500015258789
2008-11-14,100.87395666666669,0.14,0.00000,7.016666666666667,56.71,148.8,73.30000305175781
2008-11-17,100.66424666666668,0.12,0.00000,7.066666666666666,116.36,195.75,72.6500015258789
2008-11-18,100.59434333333331,0.12,0.00000,7.083333333333333,255.6,252.53,72.51000213623047
2008-11-19,100.52444,0.07,1.03000,7.1,241.07,232.93,72.26000213623047
2008-11-20,100.45453666666668,0.03,0.00000,7.116666666666666,130.31,234.81,73.44999694824219
2008-11-21,100.38463333333333,0.02,0.00000,7.133333333333333,177.11,359.0,78.8499984741211
2008-11-24,100.17492333333333,0.13,0.59000,7.183333333333334,429.15,623.45,80.91000366210938
2008-11-25,100.10502,0.1,0.44000,7.2,242.12,319.9,80.87000274658203
2008-11-26,100.03511666666668,0.05,0.70000,7.216666666666667,243.6,160.69,80.37999725341797
2008-11-28,99.89531,0.01,0.00000,7.25,119.51,160.84,80.30999755859375
2008-12-01,99.6856,0.07,0.00000,7.3,154.88,228.11,75.6500015258789
2008-12-02,99.60992258064516,0.06,0.48000,7.316129032258065,269.96,186.96,76.94999694824219
2008-12-03,99.53424516129031,0.02,0.00000,7.332258064516129,96.56,269.74,76.18000030517578
2008-12-04,99.45856774193548,0.02,0.00000,7.348387096774194,78.93,136.29,75.5
2008-12-05,99.38289032258064,0.02,0.00000,7.364516129032258,124.83,182.27,74.5199966430664
2008-12-08,99.15585806451612,0.03,0.00000,7.412903225806452,83.65,147.36,76.19999694824219
2008-12-09,99.08018064516128,0.03,0.91000,7.429032258064516,78.04,157.56,76.33000183105469
2008-12-10,99.00450322580645,0.0,0.70000,7.445161290322581,132.04,128.02,79.75
2008-12-11,98.9288258064516,0.01,0.59000,7.461290322580645,134.74,193.89,80.6500015258789
2008-12-12,98.85314838709677,0.02,1.16000,7.47741935483871,19.87,174.09,80.80999755859375
2008-12-15,98.62611612903224,0.04,1.21000,7.525806451612903,113.14,164.55,82.5999984741211
2008-12-16,98.55043870967742,0.04,0.00000,7.541935483870968,152.21,121.76,84.45999908447266
2008-12-17,98.47476129032258,0.05,0.00000,7.558064516129032,62.26,137.56,85.43000030517578
2008-12-18,98.39908387096774,0.0,0.00000,7.574193548387097,30.51,168.51,83.87000274658203
2008-12-19,98.3234064516129,0.02,0.40000,7.590322580645161,88.16,180.81,82.62999725341797
2008-12-22,98.0963741935484,0.01,0.00000,7.638709677419355,132.32,77.54,83.45999908447266
2008-12-23,98.02069677419357,0.02,1.41000,7.654838709677419,136.1,100.64,82.62999725341797
2008-12-24,97.9450193548387,0.0,0.00000,7.670967741935484,113.5,132.24,83.45999908447266
2008-12-26,97.79366451612904,0.03,1.10000,7.703225806451613,187.92,93.05,85.5999984741211
2008-12-29,97.56663225806452,0.06,0.00000,7.751612903225806,132.21,121.7,86.3499984741211
2008-12-30,97.49095483870968,0.1,0.50000,7.767741935483871,237.74,103.49,85.9000015258789
2008-12-31,97.41527741935484,0.11,0.79000,7.783870967741935,202.28,208.04,86.5199966430664
2009-01-02,97.34215806451613,0.08,1.11000,7.816129032258065,75.54,219.41,86.2300033569336
2009-01-05,97.34983225806452,0.14,0.00000,7.864516129032258,52.52,184.03,84.4800033569336
2009-01-06,97.35239032258065,0.14,0.00000,7.880645161290323,72.85,240.51,85.12999725341797
2009-01-07,97.35494838709678,0.11,0.00000,7.896774193548387,74.41,170.05,82.75
2009-01-08,97.3575064516129,0.09,0.32000,7.912903225806452,48.86,171.65,84.45999908447266
2009-01-09,97.36006451612904,0.07,0.00000,7.929032258064516,6.93,168.95,83.91999816894531
2009-01-12,97.36773870967744,0.12,0.00000,7.97741935483871,111.28,242.77,80.76000213623047
2009-01-13,97.37029677419356,0.11,0.00000,7.993548387096775,77.77,272.52,80.87999725341797
2009-01-14,97.37285483870969,0.12,0.00000,8.009677419354839,72.74,180.09,79.79000091552734
2009-01-15,97.3754129032258,0.11,0.32000,8.025806451612903,70.13,150.01,80.38999938964844
2009-01-16,97.37797096774192,0.12,0.80000,8.041935483870969,88.69,236.48,82.70999908447266
2009-01-20,97.38820322580644,0.13,0.48000,8.106451612903227,113.75,148.55,84.5199966430664
2009-01-21,97.39076129032256,0.11,0.71000,8.12258064516129,146.2,225.07,84.1500015258789
2009-01-22,97.39331935483872,0.1,0.00000,8.138709677419355,100.58,401.25,84.58000183105469
2009-01-23,97.39587741935485,0.11,0.00000,8.15483870967742,67.76,144.54,88.52999877929688
2009-01-26,97.4035516129032,0.15,36.00000,8.203225806451613,145.73,194.28,88.94999694824219
2009-01-27,97.40610967741937,0.13,0.44000,8.219354838709679,22.64,206.98,88.37999725341797
2009-01-28,97.40866774193547,0.19,1.07000,8.235483870967743,48.79,144.02,87.41999816894531
2009-01-29,97.4112258064516,0.23,0.33000,8.251612903225807,33.51,170.17,89.5
2009-01-30,97.41378387096772,0.24,0.00000,8.26774193548387,34.28,211.55,91.30999755859376
2009-02-02,97.39936428571428,0.27,0.61000,8.314285714285715,93.42,205.61,88.83999633789062
2009-02-03,97.37982857142856,0.32,0.00000,8.32857142857143,117.26,247.14,88.47000122070312
2009-02-04,97.36029285714284,0.3,0.35000,8.342857142857143,60.43,195.65,89.18000030517578
2009-02-05,97.34075714285714,0.29,0.64000,8.357142857142858,48.86,192.3,90.12000274658205
2009-02-06,97.32122142857142,0.28,1.55000,8.371428571428572,72.59,243.81,89.58999633789062
2009-02-09,97.26261428571428,0.32,0.00000,8.414285714285715,59.94,216.89,88.31999969482422
2009-02-10,97.24307857142855,0.31,0.44000,8.428571428571429,141.03,132.88,90.20999908447266
2009-02-11,97.22354285714285,0.3,0.34000,8.442857142857143,76.45,241.92,92.29000091552734
2009-02-12,97.20400714285714,0.29,0.94000,8.457142857142857,85.95,167.78,93.16999816894533
2009-02-13,97.18447142857144,0.29,0.40000,8.471428571428572,102.49,257.65,92.5500030517578
2009-02-17,97.10632857142856,0.32,0.46000,8.528571428571428,142.74,181.23,95.4499969482422
2009-02-18,97.08679285714284,0.31,0.00000,8.542857142857143,36.43,210.46,96.91000366210938
2009-02-19,97.06725714285714,0.3,1.63000,8.557142857142857,33.47,382.43,95.7699966430664
2009-02-20,97.04772142857142,0.27,1.99000,8.571428571428571,102.0,183.91,97.8000030517578
2009-02-23,96.98911428571428,0.3,0.00000,8.614285714285714,166.27,186.27,97.7300033569336
2009-02-24,96.96957857142856,0.32,2.68000,8.628571428571428,281.65,197.17,94.7300033569336
2009-02-25,96.95004285714283,0.3,3.22000,8.642857142857142,97.71,548.95,93.1500015258789
2009-02-26,96.93050714285714,0.27,0.33000,8.657142857142857,107.51,310.37,93.05999755859376
2009-02-27,96.91097142857144,0.26,0.78000,8.67142857142857,46.51,323.94,92.62999725341795
2009-03-02,96.86209032258064,0.28,1.16000,8.709677419354838,108.53,214.22,90.93000030517578
2009-03-03,96.85228064516129,0.27,0.46000,8.719354838709677,93.35,189.65,90.04000091552734
2009-03-04,96.84247096774192,0.26,0.36000,8.729032258064516,30.54,167.5,88.98999786376953
2009-03-05,96.83266129032258,0.2,0.62000,8.738709677419354,53.08,147.59,91.98999786376952
2009-03-06,96.82285161290322,0.2,1.18000,8.748387096774193,121.15,184.59,92.29000091552734
2009-03-09,96.79342258064516,0.23,1.16000,8.77741935483871,277.66,358.83,90.56999969482422
2009-03-10,96.7836129032258,0.24,0.00000,8.787096774193548,53.12,170.54,88.13999938964844
